Foundation_Name,Owner/Founder,Founding_Date,Location,Assets_PHP,No_of_Members,Type_of_Foundation
Tahanan Society - Magbanua,Evelyn Ramos,1984-11-17,Puerto Princesa,1534394,13,Charitable
Sulong Center #947,Emilio Fernandez,1986-01-27,Dipolog,1057087,1595,Microfinance
Bukas Foundation for Education #948,Aileen Garcia,2013-05-18,Batangas City,162646,1900,Charitable
Lingap Initiative #949,Rogelio Villanueva,1990-10-16,Cebu City,50000,19,Microfinance
Paglaum Fund,Cristina Santos,1988-07-20,Mandaue,471668,158,Community Development
Sigla Project #951,Lea Abalos,2010-10-15,Caloocan,687120,520,Arts & Culture
Makabayan Trust of Bayawan,Mark Navarro,1994-07-15,Ilagan,227841,39,Microfinance
Paglaum Foundation for Youth #953,Grace Salvador,1985-08-06,San Pablo,50000,20,Microfinance
Kapit-bisig Project #954,Teresa Salvador,1976-12-25,Mandaue,237358,22,Community Development
Paglaum Project #955,Marisol Torres,2016-04-29,Lucena,396011,47,Educational
Sigla Society,Aileen Dizon,2013-09-05,Marikina,637488,17,Community Development
Sulong Help Fund - Garcia,Emilio Fernandez,1990-08-20,Cebu City,50000,71,Charitable
Sulong Foundation for Education #958,Miguel Rodriguez,1983-06-25,Dasmariñas,104672,96,Health
Kaagapay Community Trust of Pasig,Ella Torres,2007-03-14,Naga,371703,9,Environmental
Gabay Trust #960,Lea Ramos,2012-12-15,Marikina,425381,102,Arts & Culture
Kalinga Foundation for Youth #961,Liza Navarro,2006-11-12,Quezon City,721818,43,Arts & Culture
Tahanan Foundation #962,Pedro Salvador,2023-02-22,Paranaque,627228,96,Health
Bagong Foundation for Education #963,Mark Santos,2021-05-05,Cagayan de Oro,80804,5,Community Development
Lingap Center #964,Miguel Abalos,1986-02-25,Mandaue,1708051,21,Human Rights
Luntiang Foundation for Youth #965,Francis Navarro,1971-09-03,Sorsogon,80399,5,Charitable
Pag-ibig Trust of Bacolod,Emilio Ortega,2012-04-17,Marikina,35706185,51,Charitable
Sampaguita Initiative,Carlos Aquino,2023-11-27,Cagayan de Oro,843857,184,Charitable
Tatak Center - Ortega,Ella Delgado,1993-09-24,Paranaque,278931,5,Research
Gabay Foundation for Education #969,Ramon Abalos,2010-09-07,Ormoc,669006,13,Health
Bukas Trust #970,Cristina Mendoza,2004-07-31,Taguig,1306555,20,Research
Pag-asa Foundation #971,Roberto Delgado,2015-04-01,Cabuyao,735232,19,Charitable
Haraya Society,Pedro Ortega,1978-08-22,Dasmariñas,612869,168,Charitable
Kaagapay Foundation for Youth of Caloocan,Rico Magbanua,2017-09-04,Iligan,65854,20,Community Development
Tatak Trust,Jose Villanueva,1981-09-10,Ormoc,142712,44,Research
Pamana Society #975,Juan Sison,2008-09-17,Mandaue,209436,552,Educational
Haraya Fund,Aileen Santos,2017-07-14,Tacloban,50000,40,Environmental
Tahanan Charitable Foundation #977,Lea Magbanua,2004-03-15,Batangas City,492571,11,Charitable
Bukas Charitable Foundation #978,Maya Abalos,2021-09-08,Antipolo,524939,6,Human Rights
Paglaum Network - Navarro,Cristina Abalos,1977-07-09,Lipa,753462,1218,Educational
Pamana Project of General Santos,Roberto Dela Cruz,1970-08-22,Dipolog,140088,45,Environmental
Sulong Trust #981,Mark Dela Cruz,2003-08-24,Capiz,1155960,45,Charitable
Kalinga Community Trust #982,Jocelyn Lopez,2006-09-06,Tarlac,945691,24,Research
Pag-asa Center #983,Carmen Navarro,2022-07-08,General Santos,579641,12,Charitable
Paglaum Society #984,Grace Aquino,2020-08-29,Tarlac,1008780,40,Environmental
Kaagapay Alliance #985,Ella Mendoza,1988-04-10,Olongapo,302003,1289,Arts & Culture
Pamana Charitable Foundation #986,Grace Villanueva,1986-01-13,Tarlac,2736804,5,Community Development
Aklat Alliance of Mandaluyong,Francis Dizon,2005-09-19,Ilagan,416972,11,Human Rights
Bagong Society,Aileen Ramos,1980-09-07,Ilagan,253945,166,Environmental
Tahanan Network #989,Jocelyn Castillo,1984-07-07,Antipolo,1752176,28,Community Development
Luntiang Charitable Foundation - Lopez,Jocelyn Cruz,2025-02-01,Tagum,158066,1742,Charitable
Dangal Community Trust #991,Maria Fernandez,2004-11-28,Laguna,55054,25,Environmental
Bayan Charitable Foundation #992,Jose Alcantara,1983-01-15,Marikina,745033,46,Charitable
Kaagapay Project #993,Jose Reyes,1993-08-08,Iloilo City,400382,39,Environmental
Kaagapay Foundation of Sorsogon,Antonio Abalos,2005-12-11,San Fernando,540413,35,Environmental
Kapit-bisig Council #995,Rosa Castillo,2023-08-08,Davao City,253310,16,Human Rights
Tatak Society #996,Liza Navarro,2014-05-09,Iloilo Province,234925,20,Charitable
Bayan Initiative #997,Aileen Ramos,2016-06-26,Lipa,699497,24,Educational
Kalinga Foundation #998,Jocelyn Ortega,2015-10-21,Mandaue,4725316,20,Environmental
Malasakit Initiative #999,Evelyn Fernandez,1973-03-27,Tarlac,50000,75,Human Rights
Tahanan Foundation for Education #1000,Juan Fernandez,1977-10-16,Baguio,196392,149,Community Development
